election_key,election_year,election_date,municipality_id,municipality_name,province,region,geometry_id,territorial_mode,territorial_status,turnout_pct,electors,voters,valid_votes,total_votes,first_party_std,first_party_share,second_party_std,second_party_share,first_second_margin,dominant_block,comparability_note,completeness_flag
assemblea_costituente_1946,1946,1946-06-02,016059,Casirate d'Adda,Bergamo,Lombardia,016059,historical,observed_opendata_zip,93.1549960660897,1271.0,1184.0,1001,1184,DC,62.03796203796203,Psiup,12.587412587412588,49.450549450549445,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016060,Casnigo,Bergamo,Lombardia,016060,historical,observed_opendata_zip,93.23929961089495,2056.0,1917.0,1710,1917,DC,53.1578947368421,Psiup,24.035087719298247,29.122807017543856,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016061,Cassiglio,Bergamo,Lombardia,016061,historical,observed_opendata_zip,79.6116504854369,206.0,164.0,141,164,DC,61.702127659574465,Psiup,21.27659574468085,40.42553191489361,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016062,Castelli Calepio,Bergamo,Lombardia,016062,historical,observed_opendata_zip,95.0260078023407,3076.0,2923.0,2625,2923,DC,47.733333333333334,Psiup,24.038095238095238,23.695238095238096,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016063,Castel Rozzone,Bergamo,Lombardia,016063,historical,observed_opendata_zip,95.81589958158996,717.0,687.0,634,687,DC,76.34069400630915,Psiup,16.246056782334385,60.094637223974765,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016064,Castione della Presolana,Bergamo,Lombardia,016064,historical,observed_opendata_zip,77.9591836734694,1715.0,1337.0,1204,1337,DC,73.33887043189368,Psiup,13.621262458471762,59.71760797342192,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016065,Castro,Bergamo,Lombardia,016065,historical,observed_opendata_zip,95.1167728237792,942.0,896.0,867,896,DC,38.292964244521336,PCI,30.44982698961938,7.843137254901958,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016066,Cavernago,Bergamo,Lombardia,016066,historical,observed_opendata_zip,94.64668094218416,467.0,442.0,401,442,DC,74.3142144638404,Psiup,12.967581047381547,61.34663341645886,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,cenate-d-argon-bergamo,Cenate D Argon,Bergamo,Lombardia,,historical,observed_opendata_zip,87.7603059923502,2353.0,2065.0,1908,2065,DC,72.64150943396226,Psiup,14.098532494758908,58.54297693920335,centro,official_eligendo_opendata_zip|geometry_join_unresolved|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016070,Cene,Bergamo,Lombardia,016070,historical,observed_opendata_zip,92.59986902423051,1527.0,1414.0,1347,1414,DC,57.01559020044543,Psiup,34.74387527839644,22.271714922048993,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
